sentences,sentences_labels,Subject,Object,relations,labels,filename,relations_id,cleaned_text,Combinations,Combination_spin_text
"One other point to note is Peakon's Heartbeat metrics, an example of the kind of community intelligence that SaaS pioneer [E1]Rob Bernshteyn[/E1] at [E2]Coupa [/E2]writes about. Getting permission to collect this kind of data is problematic in HR circles but Peakon have clearly gone out of their way to do this and the results are particularly valuable in this kind of scenario.","One other point to note is Peakon's Heartbeat metrics, an example of the kind of community intelligence that SaaS pioneer [PERSON]Rob Bernshteyn[/PERSON] at [ORG]Coupa [/ORG]writes about. Getting permission to collect this kind of data is problematic in HR circles but Peakon have clearly gone out of their way to do this and the results are particularly valuable in this kind of scenario.",Rob Bernshteyn,Coupa ,managerOf,"['PERSON', 'ORG']",article_131_cloud.txt,0,"One other point to note is Peakon's Heartbeat metrics, an example of the kind of community intelligence that SaaS pioneer [E1]Rob Bernshteyn[/E1] at [E2]Coupa [/E2]writes about.","One other point to note is Peakon's Heartbeat metrics, an example of the kind of community intelligence that SaaS pioneer [E2]Coupa [/E2] manager [E1]Rob Bernshteyn[/E1]writes about.","One other point to note is Peakon's Heartbeat metrics, an example of the kind of community intelligence that SaaS pioneer [E2]Coupa [/E2] manager [E1]Rob Bernshteyn[/E1]writes about."
"What led you, [E1]Christian Owens[/E1], to co-found [E2]Paddle[/E2]?","What led you, [PERSON]Christian Owens[/PERSON], to co-found [ORG]Paddle[/ORG]?",Christian Owens,Paddle,managerOf,"['PERSON', 'ORG']",article_34_there_is_a_huge_opportunity_for_saas.txt,0,"What led you, [E1]Christian Owens[/E1], to co-found [E2]Paddle[/E2]?.","What led you, managerOf [E2]Paddle[/E2][E1]Christian Owens[/E1]?.","What led you, managerOf [E2]Paddle[/E2][E1]Christian Owens[/E1]?."
"[E1]Russ Shaw[/E1], founder of [E2]Tech London Advocates[/E2] and Global Tech Advocates, welcomed the report’s findings, claiming that tech “is turning the tide on the country’s current economic predicament”.","[PERSON]Russ Shaw[/PERSON], founder of [ORG]Tech London Advocates[/ORG] and Global Tech Advocates, welcomed the report’s findings, claiming that tech “is turning the tide on the country’s current economic predicament”.",Russ Shaw,Tech London Advocates,managerOf,"['PERSON', 'ORG']",article_70_One-fifth.txt,0,"[E1]Russ Shaw[/E1], founder of [E2]Tech London Advocates[/E2] and Global Tech Advocates, welcomed the report’s findings, claiming that tech “is turning the tide on the country’s current economic predicament”.","[E1]Russ Shaw[/E1], founder of [E2]Tech London Advocates[/E2] and Global Tech Advocates, welcomed the report’s findings, claiming that tech “is turning the tide on the country’s current economic predicament”.","[E1]Russ Shaw[/E1], founder of [E2]Tech London Advocates[/E2] and Global Tech Advocates, welcomed the report’s findings, claiming that tech “is turning the tide on the country’s current economic predicament”."
Burton Snowboards subsequently donated 50 jackets to the Burlington [E2]Department for Children and Families[/E2] in [E1]Sanders[/E1]' name.,Burton Snowboards subsequently donated 50 jackets to the Burlington [ORG]Department for Children and Families[/ORG] i[PERSON]n Sande[/PERSON]rs' name.,Sanders,Department for Children and Families,noRelation,"['PERSON', 'ORG']",article_73_10_funny_gifts.txt,3,Burton Snowboards subsequently donated 50 jackets to the Burlington [E2]Department for Children and Families[/E2] in [E1]Sanders[/E1]' name.,Burton Snowboards subsequently donated 50 jackets to the Burlington [E1]Sanders[/E1][E2]Department for Children and Families[/E2]' name.,Burton Snowboards later donate 50 jacket_crown to the Burlington [E1]Sanders[/E1][E2]Department for Children and Families[/E2] ' name .
"The highlights of the survey and more will be among the focuses during HRE’s Spring HR Technology Conference & Exposition, which will be held virtually March 16-19. [E1]John Sumser,[/E1] founder and principal analyst of [E2]HRExaminer.com[/E2], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.","The highlights of the survey and more will be among the focuses during HRE’s Spring HR Technology Conference & Exposition, which will be held virtually March 16-19. [PERSON]John Sumser,[/PERSON] founder and principal analyst of [ORG]HRExaminer.com[/ORG], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.","John Sumser,",HRExaminer.com,managerOf,"['PERSON', 'ORG']",article_122_hr_leaders.txt,0,"[E1]John Sumser,[/E1] founder and principal analyst of [E2]HRExaminer com[/E2], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.","[E2]HRExaminer com[/E2] manager [E1]John Sumser,[/E1], will host a panel discussion about “What’s Keeping HR Up at Night”–and discuss HRE’s survey results–with several CHROs.","[E2]HRExaminer com[/E2] manager [E1]John Sumser,[/E1] , will host A panel discussion well-nigh “ What ’ s Keeping hr Up at night ” –and talk_over HRE ’ sec survey results–with various CHROs ."
An interview with [E1]Google’s[/E1] Chief Innovation Evangelist [E2]Dr. Frederik G. Pferdt[/E2],An interview with [ORG]Google’s[/ORG] Chief Innovation Evangelist [PERSON]Dr. Frederik G. Pferdt[/PERSON],Google’s,Dr. Frederik G. Pferdt,managerOf,"['ORG', 'PERSON']",article_132_enterprise.txt,0,An interview with [E1]Google’s[/E1] Chief Innovation Evangelist [E2]Dr  Frederik G  Pferdt[/E2].,An interview with [E2]Dr  Frederik G  Pferdt[/E2] manager [E1]Google’s[/E1].,An interview with [E2]Dr  Frederik G  Pferdt[/E2] manager [E1]Google’s[/E1].
"Senior Irish Government members and IDA CEO Martin Shanahan will join [E1]IDA [/E1]clients to discuss current investment conditions in [E2]Ireland[/E2], Ireland’s COVID response and future investment opportunities.","Senior Irish Government members and IDA CEO Martin Shanahan will join [ORG]IDA [/ORG]clients to discuss current investment conditions in [GPE]Ireland[/GPE], Ireland’s COVID response and future investment opportunities.",IDA ,Ireland,noRelation,"['ORG', 'GPE']",article_59_Taoiseach_and_Tanaiste.txt,3,"Senior Irish Government members and IDA CEO Martin Shanahan will join [E1]IDA [/E1]clients to discuss current investment conditions in [E2]Ireland[/E2], Ireland’s COVID response and future investment opportunities.","Senior Irish Government members and IDA CEO Martin Shanahan will join [E1]IDA [/E1]clients to discuss current investment conditions in [E2]Ireland[/E2], Ireland’s COVID response and future investment opportunities.","Senior Irish Government members and IDA CEO Martin Shanahan will join [E1]IDA [/E1]clients to discuss current investment conditions in [E2]Ireland[/E2], Ireland’s COVID response and future investment opportunities."
"Senior Irish Government members and [E2]IDA [/E2]CEO [E1]Martin Shanahan[/E1] will join IDA clients to discuss current investment conditions in Ireland, Ireland’s COVID response and future investment opportunities.","Senior Irish Government members and [ORG]IDA [/ORG]CE[PERSON]O Martin Shanah[/PERSON]an will join IDA clients to discuss current investment conditions in Ireland, Ireland’s COVID response and future investment opportunities.",Martin Shanahan,IDA ,managerOf,"['PERSON', 'ORG']",article_59_Taoiseach_and_Tanaiste.txt,0,"Senior Irish Government members and [E2]IDA [/E2]CEO [E1]Martin Shanahan[/E1] will join IDA clients to discuss current investment conditions in Ireland, Ireland’s COVID response and future investment opportunities.","Senior Irish Government members and managerOf[E1]Martin Shanahan[/E1][E2]IDA [/E2] will join IDA clients to discuss current investment conditions in Ireland, Ireland’s COVID response and future investment opportunities.","senior Irish Government members and managerOf[E1]Martin Shanahan[/E1][E2]IDA [/E2] volition join IDA clients to discuss current investment conditions inwards Ireland , Ireland ’ southward COVID response and future investment chance ."
"The largest and most successful players in the world were born in the [E2]US[/E2] – the likes of Google, Adobe, Slack, [E1]Salesforce[/E1], Zoom, Workday, Intuit – which is precisely why it’s homogenised: companies don’t have to think outside their borders to build exceptionally-sized companies.","The largest and most successful players in the world were born in the [GPE]US[/GPE] – the likes of Google, Adobe, Slack[ORG], Salesfor[/ORG]ce, Zoom, Workday, Intuit – which is precisely why it’s homogenised: companies don’t have to think outside their borders to build exceptionally-sized companies.",Salesforce,US,locatedAt,"['ORG', 'GPE']",article_36_the_next_saas_hotspots.txt,1,"The largest and most successful players in the world were born in the [E2]US[/E2] – the likes of Google, Adobe, Slack, [E1]Salesforce[/E1], Zoom, Workday, Intuit – which is precisely why it’s homogenised: companies don’t have to think outside their borders to build exceptionally-sized companies.","The largest and most successful players in the world were born in the [E2]US[/E2] – the likes of Google, Adobe, Slack, [E1]Salesforce[/E1], Zoom, Workday, Intuit – which is precisely why it’s homogenised: companies don’t have to think outside their borders to build exceptionally-sized companies.","The largest and most successful players in the world were born in the [E2]US[/E2] – the likes of Google, Adobe, Slack, [E1]Salesforce[/E1], Zoom, Workday, Intuit – which is precisely why it’s homogenised: companies don’t have to think outside their borders to build exceptionally-sized companies."
"Here in [E2]Europe[/E2], we see second-time founder or early employee founding teams emanating from companies like Skype, Spotify, [E1]iZettle[/E1], Adyen and starting the likes of Klarna and UiPath.","Here in [GPE]Europe[/GPE], we see second-time founder or early employee founding teams emanating from companies like Skype, Spotify[ORG], iZett[/ORG]le, Adyen and starting the likes of Klarna and UiPath.",iZettle,Europe,locatedAt,"['ORG', 'GPE']",article_36_the_next_saas_hotspots.txt,1,"Here in [E2]Europe[/E2], we see second-time founder or early employee founding teams emanating from companies like Skype, Spotify, [E1]iZettle[/E1], Adyen and starting the likes of Klarna and UiPath.","Here in [E2]Europe[/E2], we see second-time founder or early employee founding teams emanating from companies like Skype, Spotify, [E1]iZettle[/E1], Adyen and starting the likes of Klarna and UiPath.","here inch [E2]Europe[/E2] , we see second-time founder Oregon early employee constitute teams emanating from companies like Skype , Spotify , [E1]iZettle[/E1] , Adyen and start the likes of Klarna and UiPath ."
